name,city,state,phone,email,website,confidence,next_action,gap_field,gap_category,gap_index,total_gaps_for_record
Juke Joint Festival,Clarksdale,MS,(662) 624-5992,info@jukejointfestival.com,https://www.jukejointfestival.com,High,Email info@jukejointfestival.com re: 2026 submission window opening Oct 15 and undercard fee structure,typical_fee_range_for_undercards,other,1,8
Juke Joint Festival,Clarksdale,MS,(662) 624-5992,info@jukejointfestival.com,https://www.jukejointfestival.com,High,Email info@jukejointfestival.com re: 2026 submission window opening Oct 15 and undercard fee structure,typical_fee_range_for_headliners,other,2,8
Juke Joint Festival,Clarksdale,MS,(662) 624-5992,info@jukejointfestival.com,https://www.jukejointfestival.com,High,Email info@jukejointfestival.com re: 2026 submission window opening Oct 15 and undercard fee structure,annual_budget_estimate,other,3,8
Juke Joint Festival,Clarksdale,MS,(662) 624-5992,info@jukejointfestival.com,https://www.jukejointfestival.com,High,Email info@jukejointfestival.com re: 2026 submission window opening Oct 15 and undercard fee structure,sponsorship_contact,other,4,8
Juke Joint Festival,Clarksdale,MS,(662) 624-5992,info@jukejointfestival.com,https://www.jukejointfestival.com,High,Email info@jukejointfestival.com re: 2026 submission window opening Oct 15 and undercard fee structure,artist_hospitality_notes,other,5,8
Juke Joint Festival,Clarksdale,MS,(662) 624-5992,info@jukejointfestival.com,https://www.jukejointfestival.com,High,Email info@jukejointfestival.com re: 2026 submission window opening Oct 15 and undercard fee structure,talent_buyer_name,other,6,8
Juke Joint Festival,Clarksdale,MS,(662) 624-5992,info@jukejointfestival.com,https://www.jukejointfestival.com,High,Email info@jukejointfestival.com re: 2026 submission window opening Oct 15 and undercard fee structure,typical_attendance,other,7,8
Juke Joint Festival,Clarksdale,MS,(662) 624-5992,info@jukejointfestival.com,https://www.jukejointfestival.com,High,Email info@jukejointfestival.com re: 2026 submission window opening Oct 15 and undercard fee structure,peak_attendance,other,8,8
King Biscuit Blues Festival,Helena,AR,(870) 572-5223,Booking@KingBiscuitFestival.com,https://kingbiscuitfestival.com,High,Email Booking@KingBiscuitFestival.com re: 2026 undercard submission process; mention HeavyDrunk's prior King Biscuit Week presence at Bluesberry Cafe,typical_fee_range_for_undercards,other,1,10
King Biscuit Blues Festival,Helena,AR,(870) 572-5223,Booking@KingBiscuitFestival.com,https://kingbiscuitfestival.com,High,Email Booking@KingBiscuitFestival.com re: 2026 undercard submission process; mention HeavyDrunk's prior King Biscuit Week presence at Bluesberry Cafe,typical_fee_range_for_headliners,other,2,10
King Biscuit Blues Festival,Helena,AR,(870) 572-5223,Booking@KingBiscuitFestival.com,https://kingbiscuitfestival.com,High,Email Booking@KingBiscuitFestival.com re: 2026 undercard submission process; mention HeavyDrunk's prior King Biscuit Week presence at Bluesberry Cafe,annual_budget_estimate,other,3,10
King Biscuit Blues Festival,Helena,AR,(870) 572-5223,Booking@KingBiscuitFestival.com,https://kingbiscuitfestival.com,High,Email Booking@KingBiscuitFestival.com re: 2026 undercard submission process; mention HeavyDrunk's prior King Biscuit Week presence at Bluesberry Cafe,sponsorship_contact,other,4,10
King Biscuit Blues Festival,Helena,AR,(870) 572-5223,Booking@KingBiscuitFestival.com,https://kingbiscuitfestival.com,High,Email Booking@KingBiscuitFestival.com re: 2026 undercard submission process; mention HeavyDrunk's prior King Biscuit Week presence at Bluesberry Cafe,artist_hospitality_notes,other,5,10
King Biscuit Blues Festival,Helena,AR,(870) 572-5223,Booking@KingBiscuitFestival.com,https://kingbiscuitfestival.com,High,Email Booking@KingBiscuitFestival.com re: 2026 undercard submission process; mention HeavyDrunk's prior King Biscuit Week presence at Bluesberry Cafe,talent_buyer_name,other,6,10
King Biscuit Blues Festival,Helena,AR,(870) 572-5223,Booking@KingBiscuitFestival.com,https://kingbiscuitfestival.com,High,Email Booking@KingBiscuitFestival.com re: 2026 undercard submission process; mention HeavyDrunk's prior King Biscuit Week presence at Bluesberry Cafe,typical_attendance,other,7,10
King Biscuit Blues Festival,Helena,AR,(870) 572-5223,Booking@KingBiscuitFestival.com,https://kingbiscuitfestival.com,High,Email Booking@KingBiscuitFestival.com re: 2026 undercard submission process; mention HeavyDrunk's prior King Biscuit Week presence at Bluesberry Cafe,peak_attendance,other,8,10
King Biscuit Blues Festival,Helena,AR,(870) 572-5223,Booking@KingBiscuitFestival.com,https://kingbiscuitfestival.com,High,Email Booking@KingBiscuitFestival.com re: 2026 undercard submission process; mention HeavyDrunk's prior King Biscuit Week presence at Bluesberry Cafe,number_of_stages,other,9,10
King Biscuit Blues Festival,Helena,AR,(870) 572-5223,Booking@KingBiscuitFestival.com,https://kingbiscuitfestival.com,High,Email Booking@KingBiscuitFestival.com re: 2026 undercard submission process; mention HeavyDrunk's prior King Biscuit Week presence at Bluesberry Cafe,submissions_open,other,10,10
Sunflower River Blues & Gospel Festival,Clarksdale,MS,,,https://www.sunflowerfest.org,High,Submit via sunflowerfest.org contact form to inquire about 2026 artist submissions and booking process,typical_fee_range_for_undercards,other,1,9
Sunflower River Blues & Gospel Festival,Clarksdale,MS,,,https://www.sunflowerfest.org,High,Submit via sunflowerfest.org contact form to inquire about 2026 artist submissions and booking process,typical_fee_range_for_headliners,other,2,9
Sunflower River Blues & Gospel Festival,Clarksdale,MS,,,https://www.sunflowerfest.org,High,Submit via sunflowerfest.org contact form to inquire about 2026 artist submissions and booking process,annual_budget_estimate,other,3,9
Sunflower River Blues & Gospel Festival,Clarksdale,MS,,,https://www.sunflowerfest.org,High,Submit via sunflowerfest.org contact form to inquire about 2026 artist submissions and booking process,sponsorship_contact,other,4,9
