slug,name,city,state,email,phone,website,source_count,gaps_count
11-charley-patton-king-of-the-delta-blues,1.1 Charley Patton † *(King of the Delta Blues)*,,,,,,0,0
12-robert-johnson-father-of-the-blues,1.2 Robert Johnson † *(Father of the Blues)*,,,,,,0,0
13-son-house-eddie-james-house-jr,1.3 Son House † *(Eddie James House Jr.)*,,,,,,0,0
14-skip-james-nehemiah-curtis-james,1.4 Skip James † *(Nehemiah Curtis James)*,,,,,,0,0
15-mississippi-john-hurt-john-smith-hurt,1.5 Mississippi John Hurt † *(John Smith Hurt)*,,,,,,0,0
16-willie-brown-willie-lee-brown,1.6 Willie Brown † *(Willie Lee Brown)*,,,,,,0,0
17-tommy-johnson-c-18961956,1.7 Tommy Johnson † *(c. 1896–1956)*,,,,,,0,0
18-bukka-white-booker-t-washington-white,1.8 Bukka White † *(Booker T. Washington White)*,,,,,,0,0
19-bo-carter-armenter-chatmon,1.9 Bo Carter † *(Armenter Chatmon)*,,,,,,0,0
110-memphis-minnie-lizzie-douglas,1.10 Memphis Minnie † *(Lizzie Douglas)*,,,,,,0,0
111-big-bill-broonzy-william-lee-conley-broonzy,1.11 Big Bill Broonzy † *(William Lee Conley Broonzy)*,,,,,,0,0
112-blind-lemon-jefferson-texas-major-corridor-influence,1.12 Blind Lemon Jefferson † *(Texas; major corridor influence)*,,,,,,0,0
113-lead-belly-huddie-ledbetter,1.13 Lead Belly † *(Huddie Ledbetter)*,,,,,,0,0
114-furry-lewis-walter-e-lewis,1.14 Furry Lewis † *(Walter E. Lewis)*,,,,,,0,0
115-sleepy-john-estes-john-adam-estes,1.15 Sleepy John Estes † *(John Adam Estes)*,,,,,,0,0
116-mississippi-fred-mcdowell-fred-mcdowell,1.16 Mississippi Fred McDowell † *(Fred McDowell)*,,,,,,0,0
21-muddy-waters-mckinley-morganfield,2.1 Muddy Waters † *(McKinley Morganfield)*,,,,,,0,0
22-howlin-wolf-chester-arthur-burnett,2.2 Howlin' Wolf † *(Chester Arthur Burnett)*,,,,,,0,0
23-bb-king-riley-b-king,2.3 B.B. King † *(Riley B. King)*,,,,,,0,0
24-albert-king-albert-nelson,2.4 Albert King † *(Albert Nelson)*,,,,,,0,0
25-little-milton-james-milton-campbell-jr,2.5 Little Milton † *(James Milton Campbell Jr.)*,,,,,,0,0
26-john-lee-hooker-john-lee-hooker,2.6 John Lee Hooker † *(John Lee Hooker)*,,,,,,0,0
27-junior-parker-herman-parker-jr-little-junior-parker,"2.7 Junior Parker † *(Herman Parker Jr., ""Little Junior Parker"")*",,,,,,0,0
28-elmore-james-elmore-brooks,2.8 Elmore James † *(Elmore Brooks)*,,,,,,0,0
29-sonny-boy-williamson-ii-aleck-rice-miller,"2.9 Sonny Boy Williamson II † *(Aleck ""Rice"" Miller)*",,,,,,0,0
210-jimmy-reed-mathis-james-reed,2.10 Jimmy Reed † *(Mathis James Reed)*,,,,,,0,0
211-big-mama-thornton-willie-mae-thornton,2.11 Big Mama Thornton † *(Willie Mae Thornton)*,,,,,,0,0
31-rl-burnside-robert-lee-burnside,3.1 R.L. Burnside † *(Robert Lee Burnside)*,,,,,,0,0
32-junior-kimbrough-david-kimbrough-jr,3.2 Junior Kimbrough † *(David Kimbrough Jr.)*,,,,,,0,0
33-t-model-ford-james-lewis-carter-ford,3.3 T-Model Ford † *(James Lewis Carter Ford)*,,,,,,0,0
34-jessie-mae-hemphill-jessie-mae-hemphill,3.4 Jessie Mae Hemphill † *(Jessie Mae Hemphill)*,,,,,,0,0
35-othar-turner-othar-otha-turner,"3.5 Othar Turner † *(Othar ""Otha"" Turner)*",,,,,,0,0
36-asie-payton-asie-reed-payton,3.6 Asie Payton † *(Asie Reed Payton)*,,,,,,0,0
37-paul-wine-jones-paul-jones,"3.7 Paul ""Wine"" Jones † *(Paul Jones)*",,,,,,0,0
41-booker-t-jones-active,4.1 Booker T. Jones *(active)*,,,,,,0,0
42-william-bell-active,4.2 William Bell *(active)*,,,,,,0,0
43-mavis-staples-active,4.3 Mavis Staples *(active)*,,,,,,0,0
44-steve-cropper-stephen-lee-cropper,4.4 Steve Cropper † *(Stephen Lee Cropper)*,,,,,,0,0
45-don-bryant-don-bryant,4.5 Don Bryant † *(Don Bryant)*,,,,,,0,0
46-eddie-floyd-active-as-of-last-known,4.6 Eddie Floyd *(active as of last known)*,,,,,,0,0
47-carla-thomas-active,4.7 Carla Thomas *(active)*,,,,,,0,0
48-wayne-jackson-wayne-lamar-jackson-memphis-horns,"4.8 Wayne Jackson † *(Wayne Lamar Jackson, Memphis Horns)*",,,,,,0,0
49-isaac-hayes-estate,4.9 Isaac Hayes Estate †,,,,,,0,0
410-david-porter-active,4.10 David Porter *(active)*,,,,,,0,0
51-spooner-oldham-active,5.1 Spooner Oldham *(active)*,,,,,,0,0
52-david-hood-active,5.2 David Hood *(active)*,,,,,,0,0
53-will-mcfarlane-activesemi-retired,5.3 Will McFarlane *(active/semi-retired)*,,,,,,0,0
54-jimmy-johnson-jimmy-ray-johnson-muscle-shoals,"5.4 Jimmy Johnson † *(Jimmy Ray Johnson, Muscle Shoals)*",,,,,,0,0
55-roger-hawkins-roger-hawkins,5.5 Roger Hawkins † *(Roger Hawkins)*,,,,,,0,0
56-jerry-carrigan-jerry-kirby-carrigan,5.6 Jerry Carrigan † *(Jerry Kirby Carrigan)*,,,,,,0,0
61-fats-domino-estate-antoine-caliste-domino-jr,6.1 Fats Domino Estate † *(Antoine Caliste Domino Jr.)*,,,,,,0,0
62-allen-toussaint-estate-allen-richard-toussaint,6.2 Allen Toussaint Estate † *(Allen Richard Toussaint)*,,,,,,0,0
63-dr-john-estate-malcolm-john-rebennack-jr,6.3 Dr. John Estate † *(Malcolm John Rebennack Jr.)*,,,,,,0,0
64-ernie-k-doe-ernest-kador-jr,6.4 Ernie K-Doe † *(Ernest Kador Jr.)*,,,,,,0,0
65-irma-thomas-active,6.5 Irma Thomas *(active)*,,,,,,0,0
66-deacon-john-john-moore-active,"6.6 Deacon John *(John Moore, active)*",,,,,,0,0
67-aaron-neville-active,6.7 Aaron Neville *(active)*,,,,,,0,0
68-rebirth-brass-band-active,6.8 Rebirth Brass Band *(active)*,,,,,,0,0
69-dirty-dozen-brass-band-active,6.9 Dirty Dozen Brass Band *(active)*,,,,,,0,0
610-dr-michael-white-active,6.10 Dr. Michael White *(active)*,,,,,,0,0
71-charley-pride-estate-charley-frank-pride,7.1 Charley Pride Estate † *(Charley Frank Pride)*,,,,,,0,0
72-conway-twitty-estate-harold-lloyd-jenkins,7.2 Conway Twitty Estate † *(Harold Lloyd Jenkins)*,,,,,,0,0
73-jimmy-buffett-estate-james-william-buffett,7.3 Jimmy Buffett Estate † *(James William Buffett)*,,,,,,0,0
