slug,name,city,state,email,phone,website,status,confidence,is_heritage,primary_genres,gaps_count,source_count,next_action
cedric-burnside-holly-springs,Cedric Burnside,Holly Springs,MS,,,https://www.cedricburnside.net,active,High,no,hill_country_blues,5,2,Visit cedricburnside.net booking contact page or call Fat Possum Records re: agent inquiry.
kenny-brown-waterford,Kenny Brown,Waterford,MS,,,,active,Medium,no,hill_country_blues,6,2,Message Facebook page facebook.com/kennybrownmusic for booking inquiry.
bobby-rush-jackson,Bobby Rush,Jackson,MS,,,https://www.bobbyrushbluesman.com,active,High,yes,electric_blues,5,2,Contact The Kurland Agency via thekurlandagency.com/artist/bobby-rush for booking inquiry.
christone-kingfish-ingram-clarksdale,"Christone ""Kingfish"" Ingram",Clarksdale,MS,,,,active,Medium,no,electric_blues,6,2,Contact WME or artist management for booking and fee inquiry.
jimmy-duck-holmes-bentonia,"Jimmy ""Duck"" Holmes",Bentonia,MS,,,,active,High,no,delta_blues,5,1,Message Facebook page facebook.com/jimmyduckholmes for direct booking.
mr-sipp-mccomb,Mr. Sipp,McComb,MS,,(601) 395-3935,https://www.mrsipp.net,active,High,no,electric_blues,3,2,Call Castro Coleman directly at (601) 395-3935 for booking and fee discussion.
anthony-big-a-sherrod-clarksdale,"Anthony ""Big A"" Sherrod",Clarksdale,MS,,,https://www.musicmaker.org/artist/,active,Medium,no,delta_blues,4,1,Contact Music Maker Foundation via musicmaker.org/artist/ for booking inquiry.
lucius-spiller-clarksdale,Lucius Spiller,Clarksdale,MS,,,,active,Medium,no,delta_blues,6,2,Message Facebook page facebook.com/BlueSpiller/ for booking inquiry.
terry-harmonica-bean-holly-springs,"Terry ""Harmonica"" Bean",Holly Springs,MS,,,https://www.musicmaker.org/,active,Medium,no,hill_country_blues,6,2,Contact Music Maker Foundation via musicmaker.org for Terry Harmonica Bean booking.
super-chikan-clarksdale,Super Chikan,Clarksdale,MS,,,,active,Medium,no,delta_blues,5,2,Contact Sunflower Fest organizers or Clarksdale music community for Super Chikan booking.
heather-crosse-clarksdale,Heather Crosse,Clarksdale,MS,booking@groundzerobluesclub.com,,,active,High,no,soul,3,2,Email booking@groundzerobluesclub.com or message facebook.com/HeatherCrosseMusic for booking.
duwayne-burnside-holly-springs,Duwayne Burnside,Holly Springs,MS,,,,active,Medium,no,hill_country_blues,5,2,Message Facebook page facebook.com/duwayneburnsidemusic for booking.
tony-holiday-memphis,Tony Holiday,Memphis,TN,,,,active,Medium,no,soul,5,1,Message Facebook page facebook.com/tonyholidaymusic for booking inquiry.
rl-boyce-como,R.L. Boyce,Como,MS,,,,deceased,Medium,yes,hill_country_blues,3,2,UNKNOWN
valerie-june-memphis,Valerie June,Memphis,TN,,,https://valeriejune.com,active,High,no,Americana,5,1,Contact via valeriejune.com or Concord Records for booking inquiry.
