name,city,state,phone,email,website,confidence,next_action,gap_field,gap_category,gap_index,total_gaps_for_record
Cedric Burnside,Holly Springs,MS,,,https://www.cedricburnside.net,High,Visit cedricburnside.net booking contact page or call Fat Possum Records re: agent inquiry.,fees.typical_show,fees,1,5
Cedric Burnside,Holly Springs,MS,,,https://www.cedricburnside.net,High,Visit cedricburnside.net booking contact page or call Fat Possum Records re: agent inquiry.,fees.festival_fee,fees,2,5
Cedric Burnside,Holly Springs,MS,,,https://www.cedricburnside.net,High,Visit cedricburnside.net booking contact page or call Fat Possum Records re: agent inquiry.,booking.booking_phone,booking,3,5
Cedric Burnside,Holly Springs,MS,,,https://www.cedricburnside.net,High,Visit cedricburnside.net booking contact page or call Fat Possum Records re: agent inquiry.,booking.agent_name,booking,4,5
Cedric Burnside,Holly Springs,MS,,,https://www.cedricburnside.net,High,Visit cedricburnside.net booking contact page or call Fat Possum Records re: agent inquiry.,booking.agent_agency,booking,5,5
Kenny Brown,Waterford,MS,,,,Medium,Message Facebook page facebook.com/kennybrownmusic for booking inquiry.,fees.typical_show,fees,1,6
Kenny Brown,Waterford,MS,,,,Medium,Message Facebook page facebook.com/kennybrownmusic for booking inquiry.,fees.festival_fee,fees,2,6
Kenny Brown,Waterford,MS,,,,Medium,Message Facebook page facebook.com/kennybrownmusic for booking inquiry.,booking.booking_phone,booking,3,6
Kenny Brown,Waterford,MS,,,,Medium,Message Facebook page facebook.com/kennybrownmusic for booking inquiry.,booking.booking_email,booking,4,6
Kenny Brown,Waterford,MS,,,,Medium,Message Facebook page facebook.com/kennybrownmusic for booking inquiry.,origin.birth_year,origin,5,6
Kenny Brown,Waterford,MS,,,,Medium,Message Facebook page facebook.com/kennybrownmusic for booking inquiry.,work.key_recordings,work,6,6
Bobby Rush,Jackson,MS,,,https://www.bobbyrushbluesman.com,High,Contact The Kurland Agency via thekurlandagency.com/artist/bobby-rush for booking inquiry.,fees.typical_show,fees,1,5
Bobby Rush,Jackson,MS,,,https://www.bobbyrushbluesman.com,High,Contact The Kurland Agency via thekurlandagency.com/artist/bobby-rush for booking inquiry.,fees.festival_fee,fees,2,5
Bobby Rush,Jackson,MS,,,https://www.bobbyrushbluesman.com,High,Contact The Kurland Agency via thekurlandagency.com/artist/bobby-rush for booking inquiry.,booking.booking_phone,booking,3,5
Bobby Rush,Jackson,MS,,,https://www.bobbyrushbluesman.com,High,Contact The Kurland Agency via thekurlandagency.com/artist/bobby-rush for booking inquiry.,booking.booking_email,booking,4,5
Bobby Rush,Jackson,MS,,,https://www.bobbyrushbluesman.com,High,Contact The Kurland Agency via thekurlandagency.com/artist/bobby-rush for booking inquiry.,booking.agent_name,booking,5,5
"Christone ""Kingfish"" Ingram",Clarksdale,MS,,,,Medium,Contact WME or artist management for booking and fee inquiry.,fees.typical_show,fees,1,6
"Christone ""Kingfish"" Ingram",Clarksdale,MS,,,,Medium,Contact WME or artist management for booking and fee inquiry.,fees.festival_fee,fees,2,6
"Christone ""Kingfish"" Ingram",Clarksdale,MS,,,,Medium,Contact WME or artist management for booking and fee inquiry.,booking.booking_phone,booking,3,6
"Christone ""Kingfish"" Ingram",Clarksdale,MS,,,,Medium,Contact WME or artist management for booking and fee inquiry.,booking.booking_email,booking,4,6
"Christone ""Kingfish"" Ingram",Clarksdale,MS,,,,Medium,Contact WME or artist management for booking and fee inquiry.,booking.agent_name,booking,5,6
"Christone ""Kingfish"" Ingram",Clarksdale,MS,,,,Medium,Contact WME or artist management for booking and fee inquiry.,work.key_recordings,work,6,6
"Jimmy ""Duck"" Holmes",Bentonia,MS,,,,High,Message Facebook page facebook.com/jimmyduckholmes for direct booking.,fees.typical_show,fees,1,5
"Jimmy ""Duck"" Holmes",Bentonia,MS,,,,High,Message Facebook page facebook.com/jimmyduckholmes for direct booking.,fees.festival_fee,fees,2,5
"Jimmy ""Duck"" Holmes",Bentonia,MS,,,,High,Message Facebook page facebook.com/jimmyduckholmes for direct booking.,booking.booking_phone,booking,3,5
"Jimmy ""Duck"" Holmes",Bentonia,MS,,,,High,Message Facebook page facebook.com/jimmyduckholmes for direct booking.,booking.booking_email,booking,4,5
"Jimmy ""Duck"" Holmes",Bentonia,MS,,,,High,Message Facebook page facebook.com/jimmyduckholmes for direct booking.,origin.birth_year,origin,5,5
Mr. Sipp,McComb,MS,(601) 395-3935,,https://www.mrsipp.net,High,Call Castro Coleman directly at (601) 395-3935 for booking and fee discussion.,fees.typical_show,fees,1,3
Mr. Sipp,McComb,MS,(601) 395-3935,,https://www.mrsipp.net,High,Call Castro Coleman directly at (601) 395-3935 for booking and fee discussion.,fees.festival_fee,fees,2,3
Mr. Sipp,McComb,MS,(601) 395-3935,,https://www.mrsipp.net,High,Call Castro Coleman directly at (601) 395-3935 for booking and fee discussion.,booking.booking_email,booking,3,3
"Anthony ""Big A"" Sherrod",Clarksdale,MS,,,https://www.musicmaker.org/artist/,Medium,Contact Music Maker Foundation via musicmaker.org/artist/ for booking inquiry.,fees.typical_show,fees,1,4
