slug,name,city,state,email,phone,website,source_count,gaps_count,analog_tape,console,custom_unit,"delta_magic___gist_music_(helena,_ar)",digital,echo_chambers,effects,iconic_outboard,instruments,key_compressors,key_compressors_eq,key_mics,key_outboard,mastering_room,microphones,mics,monitoring,monitors,notable_addition_(2023),room
memphis-tn,"MEMPHIS, TN",,,,,https://samphillipsrecording.com,1,1,,"Spectra Sonics 1020-16 (20-input, 8-bus, 2-band EQ); MCI 416B 24-input — the same model used at Muscle Shoals Sound, Criteria (Miami), Willie Mitchell's Royal Studio, and Allen Toussaint's Sea-Saint Studio; MCI 536C mixing console (original; unchanged since Willie Mitchell era); 1969 Spectra Sonics (20×8, 3-band inductor EQ; 100% discrete; handcrafted by Welton Jetton — who also built consoles for Stax Records and Ardent Studios; one of the last Spectra Sonics/Auditronics builds; originally in C","Green sidecar by Greg Pace/FunkWerkes: 4× Universal Audio 100D tube preamps (2 sourced from Sam Phillips Recording, 2 from FAME Recording Studios), each with vintage UA passive EQs; passive summing mixer",,Burl B80 Mothership (24-channel AD/DA); Pro Tools HD 2; Pro Tools 192 I/O + 96 I/O; Sony PCM-2500 A/B DAT; Pro Tools 12; Lynx Aurora 16 + 8 (24 analog in/out @ 32-bit/192kHz); Pro Tools; Logic Pro X; Ableton Live 10; UA Apollo 16 + 8,3 live echo chambers **designed by Sam Phillips himself**,Eventide H3000; AMS RMX-16; 2× Yamaha Rev-5; Lexicon 200; Lexicon Super Prime Time,18× Universal Audio 101-D tube preamps (from the original Sam Phillips console); Gates SA39-B tube compressor; 2× Gates Sta-Level tube compressors; UA 176 + 2× UA 175b tube compressors; Teletronix LA-2A; UREI LA-3A; 2× DBX 160VU; 2× Pultec EQH-2; Hycor 4201 passive EQ; **EMT 140 stereo tube plate reverb**; UREI Cooper Time Cube delay,Hammond organ + Leslie; Fender Rhodes Suitcase 88; Wurlitzer (standard + tube model); 2× vintage Ludwig kits; Farfisa; Fender and Gibson vintage guitars; 1964 + 1973 Fender Precision Basses; Ampeg B15; 1940s Kay upright bass; Jenco vibraphone + celeste; Hammond B3; Yamaha grand piano; Wurlitzer; 2× Fender Rhodes; Fender Princeton Blackface amp; Yamaha Motiff 7; Korg Triton; Yamaha C7 Grand Piano (disklavier); '81 Gibson Les Paul Black Beauty; Fender Stratocaster; PRS SC58; multiple Fender Jazz B,4× vintage Spectra Sonics 610; 2× modern V610 peak limiters; 2× POM 670 (Fairchild 670 Mk II) with vintage transformers; 4× Pulse-Tec EQs,Teletronix LA-2A; UA 1176LN; 4× UREI LA-3A; Neve 2254/E; 2× DBX 160 Classic; Pultec EQP-1A; Altec 1566 tube mic pre,"Vintage Neumann U48; Neumann U87; 2× RCA DX77 ribbon; Altec 639B (from Les Paul estate); Altec M11 ""Coke Bottle"" 21D capsule tube mic; AKG 451 vintage matched stereo pair; Neumann U48, U67, 2× U47, 2× U87; 4× RCA 77DX ribbon; 3× AKG C 451E; Sennheiser 441, 4× MD421; 6× Shure SM57; Neumann U67; OG Neumann U47; 2× Royer 121; Royer SF12 stereo; AKG C4000B; Earthworks SR77 pair; Schoeps 221A; 4× Sennheiser 421; 4× Shure SM7b",Spectrasonics 610 Complimiter; 4× Altec 1566a tube mic pres; Altec 436C Limiter; Langevin 5116 × 2; Langevin 251A Passive EQs × 2; Vintech X73 (Neve 1073 style); UA 1176 LN; 2× UA LA3A; Tube Tech LCA2B stereo tube compressor; Gates Sta-Level tube limiter; Roland Space Echo RE-201; Audicon Plate Reverb; 2× UA 1176; 2× UREI LA-4; ADL1000 tube compressor; Spectra Sonics 610; Roland Space Echo 201 (×2); Fender Reverb Tank; custom Nashville 1970s plate reverb; Fairchild Reverbatron; 2× UA Classics LA,,"2× Neumann U48; Telefunken U47; Neumann FET 47; Neumann U67; 5× Neumann U87; RCA 77DX ribbon; Altec M11 ""Coke Bottle"" tube omni; AKG c451e pair; plus EV, Shure, Sennheiser dynamics",,,ProAc Studio SM100's (tri-amped with Spectra Sonics 202 system); Genelec 1037C (×2) + 7071A sub; JBL 4350A (×2); Yamaha NS-10,"Iconic Stax recording console acquired and installed January 5, 2023 ([samphillipsrecording.com](https://samphillipsrecording.com))","3,000 sq. ft.; real echo chamber; every room wired to patchbay; custom mid-century modern gobos/DIs/cue system"
mississippi,MISSISSIPPI,,,,,,0,1,,Discrete-circuitry **API Legacy** console,,,Pro Tools HD; Nuendo,,,,,,,,,Fully equipped Sadie digital mastering room,,"Sequential serial-numbered pair Neumann U-67; valve U-47; RCA 77DX; plus Neumann, AKG, Sennheiser, A-T, Audix, Shure, EV, PML","Soffit-mounted bi-amped Bryston-powered mains (2× TAD 15"" + TAD 4001 through JBL Smith Diffraction horn, tuned with White Instruments 4400 EQs); 18"" floor subs; extensive near-field options",,,
new-orleans-baton-rouge-la,"NEW ORLEANS / BATON ROUGE, LA",,,,,,0,0,,,,,,,,,,,,,,,,,,,,
muscle-shoals-al-corridor-adjacent,"MUSCLE SHOALS, AL (CORRIDOR-ADJACENT)",,,,,,0,0,,Trident 80B 32-channel analog,,,,,,,Yamaha C7 grand piano; Hammond A100 organ; Wurlitzer electric piano; Rhodes Mark I Stage 88,,,Neumann U87,Teletronix LA-2A; Tube-Tech CL1B,,,,,,,
little-rock-helena-ar,"LITTLE ROCK / HELENA, AR",,,wolfmanrecordingstudios@gmail.com,501-812-8071,https://www.deltamagic.org/the-gist,3,0,,,,"A 501(c)(3) nonprofit working to restore the historic Gist building in downtown Helena as a live music venue, recording studio, and speakeasy. **Not yet open as of research date** ([deltamagic.org](https://www.deltamagic.org/the-gist); [savethegist.com](https://savethegist.com/about)). Watch for future development.",,,,,,,,,,,,,,,,
b1-sun-studio-memphis-tn,"B1. Sun Studio *(Memphis, TN)*",,,,,,0,0,,,,,,,,,,,,,,,,,,,,
b2-stax-records-stax-museum-memphis-tn,"B2. Stax Records / Stax Museum *(Memphis, TN)*",,,,,,0,0,,,,,,,,,,,,,,,,,,,,
b3-american-sound-studio-memphis-tn-chips-moman,"B3. American Sound Studio *(Memphis, TN — Chips Moman)*",,,,,,0,0,,,,,,,,,,,,,,,,,,,,
b4-hi-records-royal-studios-memphis-tn,"B4. Hi Records / Royal Studios *(Memphis, TN)*",,,,,,0,0,,,,,,,,,,,,,,,,,,,,
b5-fame-studios-muscle-shoals-al,"B5. FAME Studios *(Muscle Shoals, AL)*",,,,,,0,0,,,,,,,,,,,,,,,,,,,,
