name,city,state,phone,email,website,confidence,next_action,gap_field,gap_category,gap_index,total_gaps_for_record
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.house_pa.brand_and_model,production,1,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.house_pa.subs,production,2,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.house_pa.monitors,production,3,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.mixer.front_of_house,production,4,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.mixer.monitor_console,production,5,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.mixer.channels,production,6,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.microphones.vocal_mic_models,production,7,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.microphones.instrument_mics,production,8,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.microphones.wireless_available,production,9,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.di_boxes,production,10,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.cables_and_stands,production,11,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.backline.drum_kit_details,production,12,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.backline.bass_amp,production,13,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.backline.guitar_amps,production,14,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.backline.keyboard,production,15,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.backline.piano,production,16,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.lighting,production,17,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.video_projection,production,18,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.live_stream_capability,production,19,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.recording_capability,production,20,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.tie_lines_to_recording_room,production,21,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.power,production,22,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,production.house_engineer_onsite,production,23,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,room.stage.width_ft,room,24,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,room.stage.depth_ft,room,25,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,room.stage.height_in,room,26,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,room.stage.ground_or_riser,room,27,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,staffing.door_staff,staffing,28,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,staffing.security,staffing,29,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,staffing.runners_hospitality,staffing,30,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,room.capacity_seated,room,31,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,room.capacity_official,room,32,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,room.green_room,room,33,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,room.load_in,room,34,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,room.parking,room,35,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,room.floor,room,36,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,room.sightlines,room,37,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,venue.lat_lon,venue,38,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,booking.booker_name,booking,39,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,booking.booker_email,booking,40,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,booking.booker_phone,booking,41,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,booking.lead_time_weeks,booking,42,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,booking.deal_structure,booking,43,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,booking.typical_fee_range,booking,44,45
B.B. King's Blues Club,Memphis,TN,,,https://www.bbkings.com/memphis,High,Via bbkings.com/memphis contact form,booking.ticketing_platform,booking,45,45
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.house_pa.brand_and_model,production,1,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.house_pa.subs,production,2,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.house_pa.monitors,production,3,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.mixer.front_of_house,production,4,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.mixer.monitor_console,production,5,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.mixer.channels,production,6,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.microphones.vocal_mic_models,production,7,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.microphones.instrument_mics,production,8,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.microphones.wireless_available,production,9,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.di_boxes,production,10,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.cables_and_stands,production,11,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.backline.drum_kit_details,production,12,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.backline.bass_amp,production,13,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.backline.guitar_amps,production,14,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.backline.keyboard,production,15,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.backline.piano,production,16,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.lighting,production,17,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.video_projection,production,18,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.live_stream_capability,production,19,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.recording_capability,production,20,48
Rum Boogie Café / Blues Hall,Memphis,TN,,,https://rumboogie.com,Medium,Contact via rumboogie.com; no public booking listed,production.tie_lines_to_recording_room,production,21,48
